date,price,high,average,open,volume
1476970200,53.3,53.36,53.18,53.36,104954
1476970500,53.11,53.31,53,53.3,138346
1476970800,53.01,53.16,53,53.11,143496
1476971100,53.02,53.0453,52.91,53.01,175902
1476971400,53.16,53.18,53.005,53.02,151106
1476971700,53.2165,53.22,53.085,53.17,131281
1476972000,53.26,53.27,53.204,53.22,108535
1476972300,53.34,53.355,53.2637,53.265,152749
1476972600,53.41,53.46,53.345,53.35,116630
1476972900,53.47,53.5,53.42,53.42,96555
1476973200,53.539,53.549,53.43,53.47,102172
1476973500,53.52,53.6,53.47,53.5394,112800
1476973800,53.435,53.54,53.43,53.53,121411
1476974100,53.4,53.45,53.36,53.435,164960
1476974400,53.365,53.4,53.315,53.4,122627
1476974700,53.405,53.41,53.355,53.369,49134
1476975000,53.39,53.41,53.39,53.41,60817
1476975300,53.325,53.41,53.32,53.395,90175
1476975600,53.31,53.33,53.25,53.325,92443
1476975900,53.34,53.38,53.31,53.31,96892
1476976200,53.38,53.4,53.32,53.34,82893
1476976500,53.4001,53.42,53.3401,53.38,87866
1476976800,53.4001,53.45,53.38,53.41,78317
1476977100,53.49,53.52,53.3901,53.4001,157323
1476977400,53.49,53.51,53.45,53.495,315616
1476977700,53.5499,53.56,53.5,53.5,103636
1476978000,53.4954,53.585,53.48,53.55,137107
1476978300,53.48,53.5,53.47,53.495,84207
1476978600,53.54,53.54,53.47,53.475,65511
1476978900,53.48,53.54,53.45,53.54,91760
1476979200,53.48,53.49,53.37,53.48,185602
1476979500,53.47,53.51,53.42,53.48,90477
1476979800,53.45,53.47,53.4311,53.465,55606
1476980100,53.44,53.485,53.44,53.45,55304
1476980400,53.44,53.46,53.42,53.44,33962
1476980700,53.42,53.45,53.4,53.4354,38617
1476981000,53.4699,53.47,53.405,53.4198,36728
1476981300,53.48,53.48,53.45,53.46,19615
1476981600,53.52,53.53,53.47,53.48,49342
1476981900,53.56,53.59,53.53,53.53,70169
1476982200,53.5587,53.57,53.55,53.57,32829
1476982500,53.53,53.575,53.53,53.555,38111
1476982800,53.5,53.535,53.49,53.53,40740
1476983100,53.51,53.52,53.49,53.5,42271
1476983400,53.5569,53.56,53.51,53.51,56465
1476983700,53.5201,53.57,53.5201,53.56,98841
1476984000,53.515,53.545,53.49,53.52,101321
1476984300,53.51,53.53,53.5,53.515,45711
1476984600,53.595,53.6,53.51,53.51,81073
1476984900,53.585,53.6,53.56,53.6,42479
1476985200,53.605,53.61,53.58,53.585,52319
1476985500,53.6,53.61,53.6,53.61,25118
1476985800,53.59,53.64,53.59,53.61,84053
1476986100,53.54,53.6,53.5,53.59,106465
1476986400,53.575,53.585,53.52,53.53,107910
1476986700,53.57,53.62,53.57,53.5764,67371
1476987000,53.57,53.6,53.56,53.58,61672
1476987300,53.595,53.62,53.53,53.565,100033
1476987600,53.6346,53.65,53.59,53.595,70150
1476987900,53.695,53.7,53.63,53.631,110758
1476988200,53.71,53.73,53.685,53.695,99813
1476988500,53.7,53.73,53.685,53.7,77619
1476988800,53.69,53.72,53.69,53.7,76675
1476989100,53.67,53.71,53.64,53.69,53462
1476989400,53.72,53.72,53.63,53.67,73322
1476989700,53.705,53.74,53.7,53.729,89530
1476990000,53.6936,53.725,53.69,53.71,72526
1476990300,53.625,53.7,53.61,53.7,102444
1476990600,53.62,53.63,53.59,53.62,60211
1476990900,53.655,53.66,53.61,53.62,81008
1476991200,53.665,53.69,53.6,53.655,136313
1476991500,53.617,53.6764,53.61,53.665,92912
1476991800,53.6,53.62,53.57,53.61,103922
1476992100,53.645,53.65,53.58,53.595,168203
1476992400,53.6,53.66,53.6,53.65,96553
1476992700,53.6,53.63,53.59,53.6,103675
1476993000,53.6406,53.66,53.6,53.6,192147
1476993300,53.64,53.68,53.64,53.645,208336
1476993600,53.59,53.65,53.59,53.645,856335
1477056600,53.41,53.44,53.33,53.42,501236
1477056900,53.4965,53.56,53.3,53.33,150524
1477057200,53.38,53.5,53.38,53.49,128623
1477057500,53.45,53.47,53.34,53.38,123610
1477057800,53.3,53.46,53.28,53.45,89147
1477058100,53.36,53.43,53.305,53.31,139720
1477058400,53.279,53.38,53.27,53.355,88365
1477058700,53.3167,53.3167,53.25,53.275,109757
1477059000,53.28,53.31,53.26,53.31,86590
1477059300,53.32,53.33,53.28,53.29,78152
1477059600,53.41,53.42,53.32,53.3235,86353
1477059900,53.35,53.42,53.35,53.41,48968
1477060200,53.41,53.42,53.35,53.35,109565
1477060500,53.44,53.48,53.42,53.42,45306
1477060800,53.4,53.44,53.37,53.44,74752
1477061100,53.375,53.42,53.36,53.4047,86672
1477061400,53.355,53.4071,53.35,53.37,55498
1477061700,53.3501,53.37,53.335,53.355,73165
1477062000,53.39,53.39,53.35,53.36,89613
1477062300,53.38,53.4,53.38,53.38,50095
1477062600,53.4064,53.42,53.365,53.385,39391
1477062900,53.43,53.43,53.39,53.41,93632
1477063200,53.465,53.48,53.425,53.43,89132
1477063500,53.455,53.47,53.43,53.465,63255
1477063800,53.48,53.49,53.445,53.4551,49705
1477064100,53.4787,53.485,53.45,53.485,55753
1477064400,53.415,53.475,53.41,53.47,44933
1477064700,53.4138,53.42,53.37,53.41,50059
1477065000,53.48,53.485,53.4,53.41,71567
1477065300,53.525,53.53,53.485,53.49,56587
1477065600,53.5049,53.54,53.5,53.5244,56128
1477065900,53.563,53.57,53.5,53.51,47835
1477066200,53.54,53.5699,53.5247,53.5699,57590
1477066500,53.515,53.55,53.51,53.55,41799
1477066800,53.54,53.565,53.515,53.515,35549
1477067100,53.5035,53.5491,53.495,53.545,46979
1477067400,53.505,53.51,53.5,53.505,53483
1477067700,53.5141,53.53,53.5,53.505,64907
1477068000,53.505,53.52,53.5,53.519,29646
1477068300,53.49,53.52,53.49,53.505,57784
1477068600,53.45,53.5,53.45,53.49,97006
1477068900,53.47,53.48,53.44,53.455,43907
1477069200,53.51,53.51,53.48,53.48,27828
1477069500,53.5342,53.535,53.51,53.51,38577
1477069800,53.565,53.57,53.53,53.535,32244
1477070100,53.57,53.585,53.56,53.5654,26920
1477070400,53.535,53.57,53.53,53.56,37501
1477070700,53.535,53.56,53.52,53.535,35433
1477071000,53.5558,53.57,53.53,53.535,30651
1477071300,53.535,53.57,53.515,53.55,42664
1477071600,53.55,53.55,53.53,53.535,23858
1477071900,53.56,53.5823,53.5411,53.5411,42767
1477072200,53.61,53.61,53.56,53.56,36969
1477072500,53.645,53.675,53.605,53.61,108367
1477072800,53.68,53.69,53.64,53.6447,61905
1477073100,53.645,53.69,53.64,53.69,46221
1477073400,53.62,53.66,53.62,53.65,54988
1477073700,53.6,53.63,53.58,53.62,58228
1477074000,53.61,53.61,53.6,53.6,28353
1477074300,53.6,53.62,53.6,53.605,44136
1477074600,53.62,53.63,53.58,53.607,75038
1477074900,53.58,53.61,53.5755,53.61,47242
1477075200,53.615,53.62,53.585,53.585,31506
1477075500,53.62,53.62,53.5931,53.613,25571
1477075800,53.637,53.64,53.62,53.625,18343
1477076100,53.64,53.64,53.63,53.64,18011
1477076400,53.6799,53.69,53.64,53.64,54482
1477076700,53.6756,53.69,53.67,53.6799,33869
1477077000,53.6956,53.7,53.6704,53.68,40298
1477077300,53.665,53.7,53.64,53.69,92416
1477077600,53.61,53.67,53.59,53.67,58613
1477077900,53.645,53.66,53.6,53.61,95669
1477078200,53.65,53.67,53.647,53.647,52908
1477078500,53.68,53.69,53.65,53.655,72623
1477078800,53.66,53.68,53.64,53.68,102731
1477079100,53.66,53.66,53.65,53.66,46385
1477079400,53.6499,53.66,53.63,53.65,92264
1477079700,53.64,53.65,53.63,53.645,162310
1477080000,53.63,53.66,53.61,53.635,819430
1477315800,53.9,53.95,53.9,53.9,120959
1477316100,54.2,54.32,53.8939,53.91,355297
1477316400,54.29,54.409,54.2,54.2,197080
1477316700,54.27,54.31,54.2,54.3,178739
1477317000,54.4,54.4,54.28,54.28,167003
1477317300,54.389,54.44,54.32,54.393,138946
1477317600,54.4,54.46,54.39,54.39,179770
1477317900,54.2844,54.44,54.28,54.39,127215
1477318200,54.215,54.3,54.21,54.29,122012
1477318500,54.1,54.23,54.09,54.21,130193
1477318800,53.94,54.1,53.94,54.1,132589
1477319100,54.1,54.13,53.935,53.94,145616
1477319400,54.16,54.21,54.11,54.11,118842
